DEB [20210902-04:25:28.502] thr=1   paramiko.transport: starting thread (client mode): 0x86cd8af0
DEB [20210902-04:25:28.503] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.7.2
DEB [20210902-04:25:28.556] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_4.7p1 Debian-8ubuntu1
INF [20210902-04:25:28.557] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_4.7p1)
DEB [20210902-04:25:28.559] thr=1   paramiko.transport: kex algos:['diffie-hellman-group-exchange-sha256', 'diffie-hellman-group-exchange-sha1', 'diffie-hellman-group14-sha1', 'diffie-hellman-group1-sha1'] server key:['ssh-rsa', 'ssh-dss'] client encrypt:['aes128-cbc', '3des-cbc', 'blowfish-cbc', 'cast128-cbc', 'arcfour128', 'arcfour256', 'arcfour', 'aes192-cbc', 'aes256-cbc', 'rijndael-cbc@lysator.liu.se', 'aes128-ctr', 'aes192-ctr', 'aes256-ctr'] server encrypt:['aes128-cbc', '3des-cbc', 'blowfish-cbc', 'cast128-cbc', 'arcfour128', 'arcfour256', 'arcfour', 'aes192-cbc', 'aes256-cbc', 'rijndael-cbc@lysator.liu.se', 'aes128-ctr', 'aes192-ctr', 'aes256-ctr'] client mac:['hmac-md5', 'hmac-sha1', 'umac-64@openssh.com', 'hmac-ripemd160', 'hmac-ripemd160@openssh.com', 'hmac-sha1-96', 'hmac-md5-96'] server mac:['hmac-md5', 'hmac-sha1', 'umac-64@openssh.com', 'hmac-ripemd160', 'hmac-ripemd160@openssh.com', 'hmac-sha1-96', 'hmac-md5-96'] client compress:['none', 'zlib@openssh.com'] server compress:['none', 'zlib@openssh.com'] client lang:[''] server lang:[''] kex follows?False
DEB [20210902-04:25:28.560] thr=1   paramiko.transport: Kex agreed: diffie-hellman-group-exchange-sha256
DEB [20210902-04:25:28.560] thr=1   paramiko.transport: HostKey agreed: ssh-rsa
DEB [20210902-04:25:28.561] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20210902-04:25:28.561] thr=1   paramiko.transport: MAC agreed: hmac-sha1
DEB [20210902-04:25:28.561] thr=1   paramiko.transport: Compression agreed: none
DEB [20210902-04:25:28.570] thr=1   paramiko.transport: Got server p (2048 bits)
DEB [20210902-04:25:28.654] thr=1   paramiko.transport: kex engine KexGexSHA256 specified hash_algo <built-in function openssl_sha256>
DEB [20210902-04:25:28.654] thr=1   paramiko.transport: Switch to new keys ...
DEB [20210902-04:25:28.654] thr=2   paramiko.transport: Adding ssh-rsa host key for 192.168.100.48: b'5656240f211ddea72bae61b1243de8f3'
DEB [20210902-04:25:28.686] thr=1   paramiko.transport: userauth is OK
INF [20210902-04:25:30.406] thr=1   paramiko.transport: Authentication (password) failed.
DEB [20210902-04:25:33.410] thr=3   paramiko.transport: starting thread (client mode): 0x86d8d7c0
DEB [20210902-04:25:33.410] thr=3   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.7.2
DEB [20210902-04:25:33.421] thr=3   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_4.7p1 Debian-8ubuntu1
